     20
      3      3
   1049   1049
  10000
   6492   6271    417
      0    0.8      1
      0    0.9      1
      0    0.8      1
      0      0    180
     67      0    156
      0    100      0
      7      0     67
     74    156    199
     41    131    143
     33    169     31
    112     72     59
    113    199     44
      6     37    167
    180     91     51
    185    174     66
    146    125     93
    196    104    105
     60     50    156
    187     25     50
    177    180     61
    116     26    189
    110     53     89
    109     43    138
      0     21     28
     21      0     31
     28     31      0
      1      2      1
      1      0      0
      0      1      0
      0      0      1





________________________________________________________
ILSSCS_numF_structureFP_sizeP_cv_ex = 0  1  2  2  3



* Data independent of cutting pattern *

T
F	P
capF	capC
W
w_p
vc_f	hc_f	vt_f
d_tf
st_fq
vc_j	st_j	vt_j
r_fp


