     20
      4      4
   1049   2098
  10000
   7676   7733   5746   3679
      0    0.8      1
      0    0.8      1
      0      1      1
      0    1.2      1
     25      0      0      0
    117    112     39      0
      0      9     66      0
     77      0      6    152
    111     92    170     42
    185    193     76     69
    104     33    116    140
     17     38     72     54
    141     74     44    110
     55     42    156     78
     78     40     47    125
     85    134    104    160
    171     90    109    125
     77     53     37    145
     51    179    124    138
     19    171    165    123
     16    120    114    128
    142    191     80      7
    151     54    196    188
    167     29     20     51
      0     46     23     55
     46      0     48     41
     23     48      0     57
     55     41     57      0
      1      3      1
      0      1      1      0
      0      1      1      0
      0      2      0      0
      2      0      0      0





________________________________________________________
ILSSCS_numF_structureFP_sizeP_cv_ex = 1  2  2  2  1



* Data independent of cutting pattern *

T
F	P
capF	capC
W
w_p
vc_f	hc_f	vt_f
d_tf
st_fq
vc_j	st_j	vt_j
r_fp


