     20
      3      6
   1049   2098
  10000
   7821   2168    233   2387    438   3071
      0      1      1
      0    0.9      1
      0    1.1      1
      0      0     79
     87      0      0
      0    117      0
     76    123      0
     84    107    121
     87     85    122
    107    122     90
    113    106    108
    104     88     80
    105     82     87
    101    112     78
    116     96     87
    117     76     92
    111    116    109
     88     98     84
    114     94    110
    101    111     77
     76    108     98
    119    122     78
     98    103     82
      0     56     55
     56      0     51
     55     51      0
      1      4      1
      1      0      0      0      1      0
      0      0      0      1      0      1
      0      1      1      0      0      0





________________________________________________________
ILSSCS_numF_structureFP_sizeP_cv_ex = 0  4  2  1  1



* Data independent of cutting pattern *

T
F	P
capF	capC
W
w_p
vc_f	hc_f	vt_f
d_tf
st_fq
vc_j	st_j	vt_j
r_fp


