     20
      4      4
   1049   2098
  10000
    450    658   4694   2346
      0      1      1
      0    0.8      1
      0    0.8      1
      0    0.9      1
      0      0      0     78
      0      0      0      0
      0     62      0     62
     43      0      0      0
     30     71    122     37
    193     87    131    164
    168     66    137    159
    182     19     51    131
    109     93    195    173
      8     40    163    134
    181      9    193    175
    190    165     77    186
    142    121      0    191
     75    166     49     51
    106    161     87    169
    137    147    183      1
     33     22     30    179
    190    112     85    129
    178     42    117     64
      3    159     44    175
      0     52     41     42
     52      0     41     38
     41     41      0     37
     42     38     37      0
      1      9      1
      1      0      0      1
      0      0      1      1
      1      1      0      0
      0      0      0      2





________________________________________________________
ILSSCS_numF_structureFP_sizeP_cv_ex = 1  2  2  2  4



* Data independent of cutting pattern *

T
F	P
capF	capC
W
w_p
vc_f	hc_f	vt_f
d_tf
st_fq
vc_j	st_j	vt_j
r_fp


