     20
      4      4
   1049   2098
  10000
   2654   1591   1129   7159
      0    1.2      1
      0    0.9      1
      0    0.8      1
      0    0.9      1
    151      0      0    198
      0      0    157      0
     70    106      0      0
     31      0      0     43
    112    101    115     76
     43     19    129    133
    126    110     57    116
    178    156    125     18
    181      5    169     84
    138    147    171     39
    168      3    153     16
    165    106     46     76
     50    165     51    166
    173     82    154     33
     42    158     88    196
     46      0    184     10
    189     95    101     40
    138     99    110    161
     30    121    195    165
    182     67    104    164
      0     57     61     48
     57      0     34     58
     61     34      0     31
     48     58     31      0
      1      1      1
      1      1      0      0
      1      1      0      0
      0      1      1      0
      1      1      0      0





________________________________________________________
ILSSCS_numF_structureFP_sizeP_cv_ex = 1  2  2  2  2



* Data independent of cutting pattern *

T
F	P
capF	capC
W
w_p
vc_f	hc_f	vt_f
d_tf
st_fq
vc_j	st_j	vt_j
r_fp


