     20
      4      4
   1049   1049
  10000
   1332   5305   6026   7605
      0    1.1      1
      0    0.8      1
      0    1.1      1
      0    0.9      1
      0      0      0      0
      0      0    105      0
      0      0     85     87
     94      0     90    112
    100     83    113    106
    107    108     88    110
    105    108     75    103
    110    112     89    108
    120    105    124    122
     87     76    119    111
    101    122     85    106
    122    116     97    118
     88    108     86    113
    110     82    102    107
    105     97     94     87
     94     93     86     77
    103     79     89    124
    108     94     77     94
     97     91    108    110
    101     98    106     98
      0     65     64     34
     65      0     46     43
     64     46      0     57
     34     43     57      0
      1      7      1
      1      0      0      0
      0      1      0      0
      0      0      1      0
      0      0      0      1





________________________________________________________
ILSSCS_numF_structureFP_sizeP_cv_ex = 1  1  2  1  3



* Data independent of cutting pattern *

T
F	P
capF	capC
W
w_p
vc_f	hc_f	vt_f
d_tf
st_fq
vc_j	st_j	vt_j
r_fp


