     20
      4      4
   1049   2098
  10000
   3046   4309   6417   1517
      0      1      1
      0    0.8      1
      0    0.8      1
      0      1      1
    103     77     75      0
    120     90      0    123
      0      0      0     99
     97      0    106      0
    103    111     87     77
     92     95    109    112
     96     90     81    121
    112    104    107     83
    102    102     98    121
     97    115    123    116
     77     97     79    106
     86     87     96     79
    101    117     81    122
    121     95     90     90
     81     98    101     91
    104    118    118    110
     79    119     80     75
     79     92     81     81
     88     86    121     78
     87     84    124    108
      0     37     50     23
     37      0     37     54
     50     37      0     26
     23     54     26      0
      1     10      1
      2      0      0      0
      2      0      0      0
      0      1      1      0
      0      0      0      2





________________________________________________________
ILSSCS_numF_structureFP_sizeP_cv_ex = 1  2  2  1  4



* Data independent of cutting pattern *

T
F	P
capF	capC
W
w_p
vc_f	hc_f	vt_f
d_tf
st_fq
vc_j	st_j	vt_j
r_fp


