     20
      5      5
   1049   1049
  10000
    598   6692   5322   1543    456
      0      1      1
      0    0.8      1
      0    0.8      1
      0      1      1
      0    1.1      1
    103     77     75      0      0
    120     90      0    123      0
      0      0      0     99    116
     97      0    106      0    122
    103    111     87     77     77
     92     95    109    112     93
     96     90     81    121    122
    112    104    107     83     82
    102    102     98    121     77
     97    115    123    116    113
     77     97     79    106    109
     86     87     96     79    112
    101    117     81    122     75
    121     95     90     90     79
     81     98    101     91     78
    104    118    118    110     94
     79    119     80     75     76
     79     92     81     81    107
     88     86    121     78    101
     87     84    124    108    112
      0     50     22     30     32
     50      0     58     49     59
     22     58      0     35     65
     30     49     35      0     57
     32     59     65     57      0
      1      2      1
      1      0      0      0      0
      0      1      0      0      0
      0      0      1      0      0
      0      0      0      1      0
      0      0      0      0      1





________________________________________________________
ILSSCS_numF_structureFP_sizeP_cv_ex = 2  1  2  1  4



* Data independent of cutting pattern *

T
F	P
capF	capC
W
w_p
vc_f	hc_f	vt_f
d_tf
st_fq
vc_j	st_j	vt_j
r_fp


