     20
      4      4
   1049   1049
  10000
   6799   7985   1164   2369
      0    1.1      1
      0      1      1
      0    0.8      1
      0      1      1
      0      0      0      0
      0      0      1    197
    130      0      0      0
      0      0      0    197
     31     77    141     98
    104     51     20     64
     75     46      9     39
    125     23    199     87
    182     31    119    168
     24     97    113     93
    194    165    153    102
    168     31     23     63
    185    169     41     79
    133     94    116    130
     39     65     34     17
    195    145    133    142
    102     44     95    127
     57    110     89    162
     37    179     50    150
      6    162     36     99
      0     63     39     53
     63      0     55     43
     39     55      0     48
     53     43     48      0
      1      8      1
      1      0      0      0
      0      1      0      0
      0      0      1      0
      0      0      0      1





________________________________________________________
ILSSCS_numF_structureFP_sizeP_cv_ex = 1  1  2  2  5



* Data independent of cutting pattern *

T
F	P
capF	capC
W
w_p
vc_f	hc_f	vt_f
d_tf
st_fq
vc_j	st_j	vt_j
r_fp


