     20
      4      4
   1049   2098
  10000
   2044   7053    985   6710
      0      1      1
      0      1      1
      0    1.1      1
      0    1.1      1
      0      0    111      0
     86      0      0      0
      0      0      0    107
      0      0    108    117
    105     91     95     91
    105    115     92    115
    117     80    116    105
     85     85     92     76
     76     77     76    110
    102    100     87     82
    106    105     79     95
     79     92     81     83
     83     98     78     96
     75     97    100     95
    100     77    120    104
     83    102    102    115
    105     85    112     80
    123     77    100     95
     96    108     76    107
    104    109     94    123
      0     53     26     43
     53      0     64     35
     26     64      0     29
     43     35     29      0
      1      9      1
      0      2      0      0
      0      1      0      1
      1      0      0      1
      0      1      1      0





________________________________________________________
ILSSCS_numF_structureFP_sizeP_cv_ex = 1  2  2  1  5



* Data independent of cutting pattern *

T
F	P
capF	capC
W
w_p
vc_f	hc_f	vt_f
d_tf
st_fq
vc_j	st_j	vt_j
r_fp


