     20
      3      3
   1049   1049
  10000
   4675   5985    167
      0      1      1
      0      1      1
      0    1.1      1
      0      0    111
     86      0      0
      0      0      0
      0      0    108
    105     91     95
    105    115     92
    117     80    116
     85     85     92
     76     77     76
    102    100     87
    106    105     79
     79     92     81
     83     98     78
     75     97    100
    100     77    120
     83    102    102
    105     85    112
    123     77    100
     96    108     76
    104    109     94
      0     34     62
     34      0     64
     62     64      0
      1      2      1
      1      0      0
      0      1      0
      0      0      1





________________________________________________________
ILSSCS_numF_structureFP_sizeP_cv_ex = 0  1  2  1  5



* Data independent of cutting pattern *

T
F	P
capF	capC
W
w_p
vc_f	hc_f	vt_f
d_tf
st_fq
vc_j	st_j	vt_j
r_fp


