     20
      3      3
   1049   1049
  10000
   4701   1198   7005
      0    1.1      1
      0      1      1
      0    0.8      1
      0      0      0
      0      0      1
    130      0      0
      0      0      0
     31     77    141
    104     51     20
     75     46      9
    125     23    199
    182     31    119
     24     97    113
    194    165    153
    168     31     23
    185    169     41
    133     94    116
     39     65     34
    195    145    133
    102     44     95
     57    110     89
     37    179     50
      6    162     36
      0     22     35
     22      0     38
     35     38      0
      1      2      1
      1      0      0
      0      1      0
      0      0      1





________________________________________________________
ILSSCS_numF_structureFP_sizeP_cv_ex = 0  1  2  2  5



* Data independent of cutting pattern *

T
F	P
capF	capC
W
w_p
vc_f	hc_f	vt_f
d_tf
st_fq
vc_j	st_j	vt_j
r_fp


