     20
      4      4
   1049   1049
  10000
   3825   7766   4778   7857
      0    1.2      1
      0    0.9      1
      0    0.8      1
      0    0.9      1
    151      0      0    198
      0      0    157      0
     70    106      0      0
     31      0      0     43
    112    101    115     76
     43     19    129    133
    126    110     57    116
    178    156    125     18
    181      5    169     84
    138    147    171     39
    168      3    153     16
    165    106     46     76
     50    165     51    166
    173     82    154     33
     42    158     88    196
     46      0    184     10
    189     95    101     40
    138     99    110    161
     30    121    195    165
    182     67    104    164
      0     22     64     60
     22      0     25     54
     64     25      0     29
     60     54     29      0
      1      7      1
      1      0      0      0
      0      1      0      0
      0      0      1      0
      0      0      0      1





________________________________________________________
ILSSCS_numF_structureFP_sizeP_cv_ex = 1  1  2  2  2



* Data independent of cutting pattern *

T
F	P
capF	capC
W
w_p
vc_f	hc_f	vt_f
d_tf
st_fq
vc_j	st_j	vt_j
r_fp


