     20
      3      6
   1049   2098
  10000
   5263    900    681   7541   2517   5071
      0    0.8      1
      0    0.8      1
      0      1      1
     25      0      0
    117    112     39
      0      9     66
     77      0      6
    111     92    170
    185    193     76
    104     33    116
     17     38     72
    141     74     44
     55     42    156
     78     40     47
     85    134    104
    171     90    109
     77     53     37
     51    179    124
     19    171    165
     16    120    114
    142    191     80
    151     54    196
    167     29     20
      0     27     65
     27      0     29
     65     29      0
      1      6      1
      0      0      0      1      1      0
      1      0      1      0      0      0
      0      1      0      0      0      1





________________________________________________________
ILSSCS_numF_structureFP_sizeP_cv_ex = 0  4  2  2  1



* Data independent of cutting pattern *

T
F	P
capF	capC
W
w_p
vc_f	hc_f	vt_f
d_tf
st_fq
vc_j	st_j	vt_j
r_fp


