     20
      5      5
   1049   2098
  10000
   1506    415   1463   1033   1843
      0      1      1
      0    1.2      1
      0    1.2      1
      0      1      1
      0    0.8      1
      0      0     80     84      0
      0      0      0     79      0
      0    102    123      0      0
    123    102      0     94     97
    107     76    110    109    124
    112     86    110    118     98
    117     99     93     93    110
     95    104    110    124    105
    100    119    101     87     77
    115    111    121    104    119
    118     85     91    120     98
    107     77     97    124     78
     84    108     77    113    115
     81     82    108     92    120
    101    111    100     91    105
    117    104     95     90     91
     84     79    112     95     78
    105    105    114    110    121
    114    116     83     90     94
     95     85     82    121    114
      0     63     64     21     47
     63      0     28     56     24
     64     28      0     44     50
     21     56     44      0     42
     47     24     50     42      0
      1      3      1
      1      1      0      0      0
      1      1      0      0      0
      0      1      0      0      1
      0      0      1      1      0
      0      0      0      2      0





________________________________________________________
ILSSCS_numF_structureFP_sizeP_cv_ex = 2  2  1  1  2



* Data independent of cutting pattern *

T
F	P
capF	capC
W
w_p
vc_f	hc_f	vt_f
d_tf
st_fq
vc_j	st_j	vt_j
r_fp


