
Order of Classes: NumF, structureFP, sizeP 


Classe01  -  012
Classe02  -  022
Classe03  -  042
Classe04  -  112
Classe05  -  122
Classe06  -  142
Classe07  -  212
Classe08  -  222
Classe09  -  242
Classe10  -  312
Classe11  -  322
Classe12  -  342
Classe13  -  412
Classe14  -  422
Classe15  -  442


Order of Classes: NumF, structureFP, sizeP 


Classe16  -  221
Classe17  -  222
Classe18  -  224



Order of Classes: NumF, structureFP, sizeP, avgcapF, avgcapC, stcapC 


Classe19  -  222111
Classe20  -  222112
Classe21  -  222121
Classe22  -  222122
Classe23  -  222141
Classe24  -  222142
Classe25  -  222211
Classe26  -  222212
Classe27  -  222221
Classe28  -  222222
Classe29  -  222241
Classe30  -  222242
Classe31  -  222411
Classe32  -  222412
Classe33  -  222421
Classe34  -  222422
Classe35  -  222441
Classe36  -  222442



Order of Classes: NumF, structureFP, sizeP, vcostJ, hcostF 


Classe37  -  22211
Classe38  -  22212
Classe39  -  22214
Classe40  -  22221
Classe41  -  22222
Classe42  -  22224
Classe43  -  22241
Classe44  -  22242
Classe45  -  22244


