     20
      5      5
   1049   2098
  10000
   3615   5291    878    517   4346
      0    0.7      1
      0    0.5      1
      0    0.5      1
      0    0.6      1
      0    0.6      1
      0      0      0     78     21
      0      0      0      0      0
      0     62      0     62      0
     43      0      0      0     73
     30     71    122     37    107
    193     87    131    164    116
    168     66    137    159     43
    182     19     51    131     60
    109     93    195    173     83
      8     40    163    134     17
    181      9    193    175    118
    190    165     77    186     44
    142    121      0    191     48
     75    166     49     51     58
    106    161     87    169     77
    137    147    183      1    131
     33     22     30    179    115
    190    112     85    129     71
    178     42    117     64      5
      3    159     44    175    160
      0     41     45     53     58
     41      0     32     49     26
     45     32      0     63     29
     53     49     63      0     62
     58     26     29     62      0
    0.5     10      1
    0.4    0.2    0.3    0.4    0.2
      0      0      1      0      1
      0      0      1      0      1
      0      1      0      0      1
      1      0      0      0      1
      0      0      1      1      0





________________________________________________________
ILSSCS_numF_structureFP_sizeP_vcostJ_hcostF_cv_ex = 2  2  2  1  1  2  4



* Data independent of cutting pattern *

T
F	P
capF	capC
W
w_p
vc_f	hc_f	vt_f
d_tf
st_fq
vc_j	st_j	vt_j
hc_p
r_fp


