     20
      5      5
   1049   2098
  10000
   2398   7128   7172    854    207
      0    1.1      1
      0    0.8      1
      0    1.1      1
      0    0.9      1
      0    1.2      1
      0      0      0      0      0
      0      0    105      0      0
      0      0     85     87    104
     94      0     90    112     91
    100     83    113    106     85
    107    108     88    110     93
    105    108     75    103     76
    110    112     89    108     77
    120    105    124    122     88
     87     76    119    111     86
    101    122     85    106    106
    122    116     97    118    115
     88    108     86    113     85
    110     82    102    107     97
    105     97     94     87    100
     94     93     86     77     83
    103     79     89    124    115
    108     94     77     94    110
     97     91    108    110     95
    101     98    106     98    121
      0     40     47     56     60
     40      0     58     41     52
     47     58      0     48     64
     56     41     48      0     37
     60     52     64     37      0
      1      6      1
    0.5    0.5    0.6    0.5    0.5
      1      0      0      1      0
      0      1      0      1      0
      0      0      1      1      0
      1      0      0      0      1
      1      0      1      0      0





________________________________________________________
ILSSCS_numF_structureFP_sizeP_vcostJ_hcostF_cv_ex = 2  2  2  2  2  1  3



* Data independent of cutting pattern *

T
F	P
capF	capC
W
w_p
vc_f	hc_f	vt_f
d_tf
st_fq
vc_j	st_j	vt_j
hc_p
r_fp


