     20
      5      5
   1235   4940
  10000
   1259   1459   6837   6069    588
      0      1      1
      0      1      1
      0    1.1      1
      0    1.1      1
      0    1.2      1
      0      0    111      0      0
     86      0      0      0      0
      0      0      0    107    124
      0      0    108    117     87
    105     91     95     91     93
    105    115     92    115    116
    117     80    116    105     79
     85     85     92     76    102
     76     77     76    110    103
    102    100     87     82    106
    106    105     79     95     98
     79     92     81     83    120
     83     98     78     96    110
     75     97    100     95    118
    100     77    120    104    120
     83    102    102    115     97
    105     85    112     80     80
    123     77    100     95    119
     96    108     76    107     89
    104    109     94    123     96
      0     44     21     28     55
     44      0     22     38     47
     21     22      0     39     46
     28     38     39      0     39
     55     47     46     39      0
      1      8      1
      0      0      0      2      0
      0      0      1      1      0
      0      1      0      0      1
      2      0      0      0      0
      2      0      0      0      0





________________________________________________________
ILSSCS_numF_structureFP_sizeP_avgcapF_avgcapC_stcapC_cv_ex = 2  2  2  1  4  1  1  5



* Data independent of cutting pattern *

T
F	P
capF	capC
W
w_p
vc_f	hc_f	vt_f
d_tf
st_fq
vc_j	st_j	vt_j
r_fp


