     20
      7      7
   1049   1049
  10000
   2682   4471   2671    800   2684   1394   1027
      0      1      1
      0    0.9      1
      0    1.1      1
      0    0.8      1
      0      1      1
      0      1      1
      0    1.1      1
      0      0     79      0      0      0      0
     87      0      0      0     79    124      0
      0    117      0     78      0      0    105
     76    123      0     82      0     76     87
     84    107    121     80     90    112     96
     87     85    122     96     83    116     76
    107    122     90    110     80     88    107
    113    106    108    119    117    103     83
    104     88     80     90    117    118    115
    105     82     87     82    107     88     84
    101    112     78    118     79     76     89
    116     96     87    109    105    102     78
    117     76     92    107     75     81    110
    111    116    109    100     82     99     97
     88     98     84    101     88    107     80
    114     94    110     77     92    102     93
    101    111     77    116     81    124     90
     76    108     98     79     75     91    113
    119    122     78    115    113    107    116
     98    103     82     80     87    104    122
      0     32     28     62     53     61     25
     32      0     48     34     63     28     56
     28     48      0     49     47     33     49
     62     34     49      0     25     45     60
     53     63     47     25      0     41     51
     61     28     33     45     41      0     44
     25     56     49     60     51     44      0
      1      3      1
      1      0      0      0      0      0      0
      0      1      0      0      0      0      0
      0      0      1      0      0      0      0
      0      0      0      1      0      0      0
      0      0      0      0      1      0      0
      0      0      0      0      0      1      0
      0      0      0      0      0      0      1





________________________________________________________
ILSSCS_numF_structureFP_sizeP_cv_ex = 4  1  2  1  1



* Data independent of cutting pattern *

T
F	P
capF	capC
W
w_p
vc_f	hc_f	vt_f
d_tf
st_fq
vc_j	st_j	vt_j
r_fp


