     20
      6      6
   1049   2098
  10000
   5487   7290   5009   6906    635   7685
      0    0.8      1
      0    0.9      1
      0    0.8      1
      0    0.8      1
      0    1.2      1
      0    1.2      1
      0      0    180      0      0    124
     67      0    156      0     22      6
      0    100      0    158      0      0
      7      0     67      0      0      0
     74    156    199    124     89     58
     41    131    143      5     58     98
     33    169     31    112    136     10
    112     72     59      9    121    183
    113    199     44    170    130    142
      6     37    167    178     28     28
    180     91     51     21     70    190
    185    174     66    161     85    158
    146    125     93    172    149     25
    196    104    105     95    130    104
     60     50    156      9     81    165
    187     25     50     71    137    117
    177    180     61    116     90    121
    116     26    189      1     89     81
    110     53     89      9     86    191
    109     43    138    172      8    155
      0     36     63     40     22     22
     36      0     47     48     48     29
     63     47      0     58     32     51
     40     48     58      0     36     50
     22     48     32     36      0     39
     22     29     51     50     39      0
      1      5      1
      0      0      1      1      0      0
      0      0      0      0      1      1
      1      1      0      0      0      0
      0      1      0      0      0      1
      0      1      0      1      0      0
      0      0      2      0      0      0





________________________________________________________
ILSSCS_numF_structureFP_sizeP_cv_ex = 3  2  2  2  3



* Data independent of cutting pattern *

T
F	P
capF	capC
W
w_p
vc_f	hc_f	vt_f
d_tf
st_fq
vc_j	st_j	vt_j
r_fp


