     20
      6      6
   1049   2098
  10000
   1070   5370   5015   1884   6512   3493
      0    0.8      1
      0    0.8      1
      0      1      1
      0    1.2      1
      0    0.9      1
      0      1      1
     25      0      0      0    167    175
    117    112     39      0    119      0
      0      9     66      0      0     91
     77      0      6    152      0    170
    111     92    170     42    178    197
    185    193     76     69    104    157
    104     33    116    140    197     31
     17     38     72     54     84    178
    141     74     44    110      5    105
     55     42    156     78    159    187
     78     40     47    125     62     34
     85    134    104    160      0    199
    171     90    109    125    165    174
     77     53     37    145     64    199
     51    179    124    138    131    181
     19    171    165    123     32     71
     16    120    114    128    146    147
    142    191     80      7    140    105
    151     54    196    188    158    160
    167     29     20     51    130     49
      0     59     53     56     58     50
     59      0     49     23     61     44
     53     49      0     37     54     29
     56     23     37      0     41     65
     58     61     54     41      0     30
     50     44     29     65     30      0
      1      2      1
      0      1      0      0      1      0
      0      1      0      0      1      0
      1      0      0      0      0      1
      0      0      0      0      2      0
      0      1      1      0      0      0
      0      1      0      1      0      0





________________________________________________________
ILSSCS_numF_structureFP_sizeP_cv_ex = 3  2  2  2  1



* Data independent of cutting pattern *

T
F	P
capF	capC
W
w_p
vc_f	hc_f	vt_f
d_tf
st_fq
vc_j	st_j	vt_j
r_fp


