     20
      6      6
   1049   2098
  10000
   7886   6319   2743   7773   5118   3904
      0      1      1
      0    0.8      1
      0    0.8      1
      0      1      1
      0    1.1      1
      0    1.1      1
    103     77     75      0      0      0
    120     90      0    123      0      0
      0      0      0     99    116    119
     97      0    106      0    122    108
    103    111     87     77     77    112
     92     95    109    112     93     98
     96     90     81    121    122     81
    112    104    107     83     82     95
    102    102     98    121     77    119
     97    115    123    116    113     99
     77     97     79    106    109    105
     86     87     96     79    112     90
    101    117     81    122     75    122
    121     95     90     90     79    108
     81     98    101     91     78     93
    104    118    118    110     94     95
     79    119     80     75     76     81
     79     92     81     81    107     97
     88     86    121     78    101     83
     87     84    124    108    112    106
      0     34     31     37     47     44
     34      0     65     27     61     57
     31     65      0     60     44     36
     37     27     60      0     40     58
     47     61     44     40      0     58
     44     57     36     58     58      0
      1      4      1
      1      0      0      1      0      0
      0      1      0      0      1      0
      0      1      0      1      0      0
      0      0      0      0      1      1
      1      1      0      0      0      0
      0      0      0      2      0      0





________________________________________________________
ILSSCS_numF_structureFP_sizeP_cv_ex = 3  2  2  1  4



* Data independent of cutting pattern *

T
F	P
capF	capC
W
w_p
vc_f	hc_f	vt_f
d_tf
st_fq
vc_j	st_j	vt_j
r_fp


