     20
      7      7
   1049   1049
  10000
   6697   4909   6280   6244   3438   2847   4645
      0    1.1      1
      0      1      1
      0    0.8      1
      0      1      1
      0    0.9      1
      0    0.8      1
      0    0.9      1
      0      0      0      0      0      0      0
      0      0      1    197     70      0     99
    130      0      0      0      0     10      0
      0      0      0    197     36    140      0
     31     77    141     98    180    157    110
    104     51     20     64      0     21    124
     75     46      9     39    151     80    108
    125     23    199     87    186     68    178
    182     31    119    168     31    130     32
     24     97    113     93     58     54    194
    194    165    153    102     12    108     82
    168     31     23     63    165    139    129
    185    169     41     79     64     90    120
    133     94    116    130     44     84     66
     39     65     34     17      0     44     56
    195    145    133    142    183    142    103
    102     44     95    127     85     13    144
     57    110     89    162    119    141    181
     37    179     50    150    178    149     86
      6    162     36     99     15     46    137
      0     24     56     48     37     22     27
     24      0     41     39     26     59     47
     56     41      0     41     50     33     30
     48     39     41      0     41     39     54
     37     26     50     41      0     34     46
     22     59     33     39     34      0     36
     27     47     30     54     46     36      0
      1     10      1
      1      0      0      0      0      0      0
      0      1      0      0      0      0      0
      0      0      1      0      0      0      0
      0      0      0      1      0      0      0
      0      0      0      0      1      0      0
      0      0      0      0      0      1      0
      0      0      0      0      0      0      1





________________________________________________________
ILSSCS_numF_structureFP_sizeP_cv_ex = 4  1  2  2  5



* Data independent of cutting pattern *

T
F	P
capF	capC
W
w_p
vc_f	hc_f	vt_f
d_tf
st_fq
vc_j	st_j	vt_j
r_fp


