     20
      7     14
   1049   2098
  10000
   2675   3520   3282   5412   6486   3242   4208   6847   7357   1868   2318    249   7848   6979
      0    1.2      1
      0    0.9      1
      0    0.8      1
      0    0.9      1
      0    0.8      1
      0    0.9      1
      0    0.9      1
    151      0      0    198     46      0      0
      0      0    157      0    177      0    157
     70    106      0      0     67      0      0
     31      0      0     43      0     77      8
    112    101    115     76     55    158    176
     43     19    129    133    161     92     94
    126    110     57    116    120    186    126
    178    156    125     18     64     21    153
    181      5    169     84     92     77     28
    138    147    171     39     50    147    157
    168      3    153     16     42    109     20
    165    106     46     76      6    161     33
     50    165     51    166     54     78    142
    173     82    154     33     42    150     50
     42    158     88    196     18     38     62
     46      0    184     10    184    117     62
    189     95    101     40     80     83    152
    138     99    110    161     58     41    125
     30    121    195    165    144    156    178
    182     67    104    164    121    138    147
      0     44     47     58     65     21     47
     44      0     37     49     41     37     50
     47     37      0     42     22     42     65
     58     49     42      0     25     42     60
     65     41     22     25      0     23     27
     21     37     42     42     23      0     44
     47     50     65     60     27     44      0
      1      3      1
      0      0      0      0      1      0      0      0      0      0      0      0      0      1
      0      1      0      0      0      0      0      0      0      0      0      1      0      0
      0      0      0      1      0      0      0      0      0      0      0      0      1      0
      1      0      0      0      0      0      1      0      0      0      0      0      0      0
      0      0      0      0      0      0      0      1      1      0      0      0      0      0
      0      0      0      0      0      0      0      0      0      1      1      0      0      0
      0      0      1      0      0      1      0      0      0      0      0      0      0      0





________________________________________________________
ILSSCS_numF_structureFP_sizeP_cv_ex = 4  4  2  2  2



* Data independent of cutting pattern *

T
F	P
capF	capC
W
w_p
vc_f	hc_f	vt_f
d_tf
st_fq
vc_j	st_j	vt_j
r_fp


