     20
      7      7
   1049   1049
  10000
   7882   7243   4883    526   6201    377   1669
      0    1.1      1
      0    0.8      1
      0    1.1      1
      0    0.9      1
      0    1.2      1
      0    0.8      1
      0    0.8      1
      0      0      0      0      0      0      0
      0      0    105      0      0     85    114
      0      0     85     87    104      0    110
     94      0     90    112     91      0      0
    100     83    113    106     85     78    100
    107    108     88    110     93     86     83
    105    108     75    103     76     75    112
    110    112     89    108     77    114    119
    120    105    124    122     88    122    114
     87     76    119    111     86     75    124
    101    122     85    106    106     84    123
    122    116     97    118    115    124     91
     88    108     86    113     85    122     93
    110     82    102    107     97    110    100
    105     97     94     87    100    102    111
     94     93     86     77     83    105    121
    103     79     89    124    115     76    124
    108     94     77     94    110     94    117
     97     91    108    110     95    116    102
    101     98    106     98    121    102    101
      0     51     49     63     24     55     24
     51      0     51     44     60     58     32
     49     51      0     57     55     55     40
     63     44     57      0     52     37     30
     24     60     55     52      0     47     46
     55     58     55     37     47      0     62
     24     32     40     30     46     62      0
      1      7      1
      1      0      0      0      0      0      0
      0      1      0      0      0      0      0
      0      0      1      0      0      0      0
      0      0      0      1      0      0      0
      0      0      0      0      1      0      0
      0      0      0      0      0      1      0
      0      0      0      0      0      0      1





________________________________________________________
ILSSCS_numF_structureFP_sizeP_cv_ex = 4  1  2  1  3



* Data independent of cutting pattern *

T
F	P
capF	capC
W
w_p
vc_f	hc_f	vt_f
d_tf
st_fq
vc_j	st_j	vt_j
r_fp


