     20
      6      6
   1049   2098
  10000
   2416   4536   2596   6974   4498   7516
      0      1      1
      0      1      1
      0    1.1      1
      0    1.1      1
      0    1.2      1
      0    0.9      1
      0      0    111      0      0    124
     86      0      0      0      0    109
      0      0      0    107    124    100
      0      0    108    117     87      0
    105     91     95     91     93     82
    105    115     92    115    116    120
    117     80    116    105     79     94
     85     85     92     76    102    109
     76     77     76    110    103    116
    102    100     87     82    106     79
    106    105     79     95     98    100
     79     92     81     83    120     99
     83     98     78     96    110    111
     75     97    100     95    118     85
    100     77    120    104    120     84
     83    102    102    115     97    117
    105     85    112     80     80    108
    123     77    100     95    119     91
     96    108     76    107     89    122
    104    109     94    123     96    102
      0     36     37     52     44     38
     36      0     43     48     47     52
     37     43      0     50     54     65
     52     48     50      0     37     46
     44     47     54     37      0     27
     38     52     65     46     27      0
      1      3      1
      0      0      1      1      0      0
      0      0      1      1      0      0
      0      0      1      1      0      0
      0      0      1      1      0      0
      0      0      0      1      1      0
      1      0      0      0      0      1





________________________________________________________
ILSSCS_numF_structureFP_sizeP_cv_ex = 3  2  2  1  5



* Data independent of cutting pattern *

T
F	P
capF	capC
W
w_p
vc_f	hc_f	vt_f
d_tf
st_fq
vc_j	st_j	vt_j
r_fp


